Flowey, 5, A, 0, 300, 175, 300, 50
Toriel, 1, B, 0, 175, 150, 100, 250
Sans, 2, A, 1, 350, 275, 300, 75
Papyrus, 2, B, 0, 125, 50, 125, 300
Undyne, 3, B, 0, 200, 125, 225, 125
Napstablock, 8, B, 0, 120, 150, 75, 200
Mettaton, 5, B, 0, 225, 200, 225, 100
Asgore, 7, A, 0, 250, 150, 200, 200
Alphys, 4, B, 0, 100, 300, 50, 225
Monster kid, 1, C, 0, 50, 75, 0, 300
Gaster, 6, A, 0, 0, 300, 300, 0
Chara, 1, A, 0, 999, 300, 300, 0
Dummy, 2, C, 0, 175, 25, 200, 50
Mad mew mew, 3, C, 0, 200, 100, 200, 50
Doggo, 1, D, 0, 120, 100, 100, 150
Dogão, 7, C, 0, 150, 0, 150, 200
Doguinho, 8, C, 0, 150, 0, 100, 200
Dogamy, 2, D, 0, 125, 50, 100, 200
Dogaressa, 3, D, 0, 125, 50, 100, 200
Guardas reais, 4, D, 0, 175, 50, 100, 200
Asriel, 4, A, 0, 300, 250, 250, 150
Burguerpants, 5, D, 0, 0, 50, 0, 150
Muffet, 6, B, 0, 200, 175, 200, 150
Frisk, 2, A, 0, 150, 150, 150, 300
Amalgamo, 7, B, 0, 175, 0, 200, 150
Gerson, 6, C, 0, 100, 125, 50, 200
Temmie, 4, C, 0, 0, 0, 0, 0
Boats guy, 7, D, 0, 100, 200, 100, 125
Grillby, 5, C, 0, 100, 125, 75, 150
Bratty and catty, 6, D, 0, 50, 100, 0, 200
Onionsan, 8, D, 0, 0, 50, -200, 200
Toby fox, 8, A, 0, 300, 300, 300, 300
